CS1	CS2	group
SRR8120462	1.854692323	-1.596036019	3
SRR8120510	1.381515151	-1.350374289	3
SRR8120658	1.245784428	-1.291871542	3
SRR8120660	0.656656841	-0.2573759	3
SRR8120736	1.805740468	-1.291142082	3
SRR8120738	1.977896482	-1.310484839	3
SRR8120769	1.93229303	-1.205382445	3
SRR8120787	2.240523318	-1.871064649	3
SRR8120819	1.73339671	-1.097461252	3
SRR8120845	1.452877296	-1.754935376	3
SRR8120904	0.829892473	0.056581519	3
SRR8115643	1.550737961	-0.823188068	3
SRR8115859	1.398362088	0.206853098	3
SRR8116033	1.882366548	-1.115343286	3
SRR8117216	1.398362088	0.206853098	3
SRR8119100	2.290905913	-1.973188684	3
SRR8119177	2.02109347	-1.619774598	3
SRR8119317	1.564528275	-1.574349194	3
SRR8119417	1.430928014	-1.685269353	3
SRR8120899	1.813887867	-0.887012083	3
SRR8120932	1.217683719	-1.292486542	3
SRR8115900	1.4996741	-1.953368756	3
SRR8117180	1.4996741	-1.953368756	3
SRR8120817	2.138061987	-1.954356916	3
SRR8115886	1.187676333	-0.594909148	3
SRR8120447	0.945547699	-0.368108161	3
SRR8119118	1.263019627	-1.0627945	3
SRR8119569	0.534735913	-1.289569685	3
SRR8115735	-0.670304499	-0.356024012	3
SRR8118531	1.546836222	-1.260365293	3
SRR8120850	1.867295485	-1.426098797	3
